titulo,autoria,link,fonte,data
Pedreiro que viralizou ao passar na faculdade não poderá fazer o curso; entenda,Leticia Pazero,https://www.cnnbrasil.com.br/nacional/pedreiro-que-viralizou-ao-passar-na-faculdade-nao-podera-fazer-o-curso-entenda/,cnn, 05/05/2023 às 13:42 
Quais são as atribuições de um rei no século XXI em meio a perda de aprovação?,Matheus Meirelles | Rafael Saldanha | Vinícius Tadeu | Carolina Ferraz | Tiago Tortella,https://www.cnnbrasil.com.br/internacional/em-meio-a-perda-de-aprovacao-quais-sao-as-atribuicoes-de-um-rei-no-seculo-xxi/,cnn, 06/05/2023 às 01:11 | Atualizado 06/05/2023 às 06:35 
Os filhos da rainha Camilla Parker terão algum direito real? Entenda,Felipe Pereira,https://www.cnnbrasil.com.br/internacional/os-filhos-da-rainha-camilla-terao-algum-direito-real-entenda/,cnn, 05/05/2023 às 04:00 | Atualizado 06/05/2023 às 10:45 
Estrela “engole” planeta em uma prévia do que pode ser o destino final da Terra,Lucas Rocha,https://www.cnnbrasil.com.br/tecnologia/estrela-engole-planeta-em-uma-previa-do-que-pode-ser-o-destino-final-da-terra/,cnn, 04/05/2023 às 13:37 | Atualizado 04/05/2023 às 14:15 
Preço de carro zero mais barato do Brasil é reajustado e encosta nos R$ 70 mil,Diego Mendes,https://www.cnnbrasil.com.br/economia/preco-de-carro-zero-mais-barato-do-brasil-e-reajustado-e-encosta-nos-r-70-mil/,cnn, 07/05/2023 às 04:00 | Atualizado 07/05/2023 às 08:33 
Telescópio Webb detecta vapor de água misterioso em sistema estelar próximo,Ashley Strickland,https://www.cnnbrasil.com.br/tecnologia/telescopio-webb-detecta-vapor-de-agua-misterioso-em-sistema-estelar-proximo/,cnn, 07/05/2023 às 04:00 
Análise de presa de mamute desvenda agressividade em acasalamento,Ashley Strickland,https://www.cnnbrasil.com.br/tecnologia/cientistas-analisam-presa-de-mamute-de-30-mil-anos-e-desvendam-agressividade-em-acasalamento/,cnn, 07/05/2023 às 04:00 
Fóssil de nova espécie de camarão com 90 milhões de anos é descoberto,Lucas Rocha,https://www.cnnbrasil.com.br/tecnologia/fossil-de-nova-especie-de-camarao-com-90-milhoes-de-anos-e-descoberto-no-piaui/,cnn, 04/05/2023 às 09:36 
Conheça o time de futebol trans que está fazendo história na Europa,Hannah Ryan,https://www.cnnbrasil.com.br/esportes/o-time-de-futebol-trans-que-esta-fazendo-historia/,cnn, 04/05/2023 às 17:05 | Atualizado 04/05/2023 às 17:08 
Comitê Gestor da Internet realiza seminário com relator do PL das fake news,Gabriel Hirabahasi,https://web.archive.org/web/20230424222808/https://www.cnnbrasil.com.br/politica/comite-gestor-da-internet-realiza-seminario-com-relator-do-pl-das-fake-news/,cnn, 24/04/2023 às 18:02 | Atualizado 24/04/2023 às 18:05 
"Governo Lula inicia ofensiva de medidas voltadas para as classes C, D e E",Da CNN,https://web.archive.org/web/20230502004110/https://www.cnnbrasil.com.br/politica/governo-lula-inicia-ofensiva-de-medidas-para-classes-c-d-e-e/,cnn, 01/05/2023 às 16:46 
Zoológico procura pessoas para se fantasiar de pássaro e afugentar gaivotas,Yenny Sanche,https://web.archive.org/web/20230502004110/https://www.cnnbrasil.com.br/internacional/zoologico-procura-pessoas-para-se-fantasiar-de-passaro-e-afugentar-gaivotas/,cnn, 01/05/2023 às 10:56 | Atualizado 01/05/2023 às 10:57 
"Capital do Sudão virou ""cidade fantasma”, diz à CNN brasileiro resgatado após ataques",Fábio Mendes,https://web.archive.org/web/20230429222817/https://www.cnnbrasil.com.br/internacional/cartum-virou-uma-cidade-fantasma-diz-brasileiro-resgatado-do-sudao/,cnn, 29/04/2023 às 15:44 | Atualizado 29/04/2023 às 15:50 
Novos vídeos mostram ministros exaltados após ataque ao Palácio do Planalto,Da CNN,https://web.archive.org/web/20230424222808/https://www.cnnbrasil.com.br/politica/novas-imagens-mostram-ministros-exaltados-apos-ataque-ao-palacio-do-planalto/,cnn, 24/04/2023 às 17:21 
CLT completa 80 anos em meio a desafios para se adequar às novas relações,Danilo Moliterno,https://web.archive.org/web/20230502004110/https://www.cnnbrasil.com.br/economia/clt-completa-80-anos-em-meio-a-desafio-para-se-adequar-as-novas-relacoes-de-trabalho/,cnn, 01/05/2023 às 04:00 
"Bolsonaro guardou acervo com Piquet pois não tinha onde colocar, diz Wajngarten",Da CNN,https://web.archive.org/web/20230427000632/https://www.cnnbrasil.com.br/politica/bolsonaro-guardou-acervo-na-fazenda-de-piquet-pois-nao-tinha-onde-colocar-na-epoca-diz-wajngarten/,cnn, 26/04/2023 às 12:39 | Atualizado 26/04/2023 às 13:03 
"Quem é Santiago Peña, ex-ministro que se elegeu presidente do Paraguai",Da CNN,https://web.archive.org/web/20230502224209/https://www.cnnbrasil.com.br/internacional/quem-e-santiago-pena-presidente-eleito-do-paraguai/,cnn, 01/05/2023 às 00:23 | Atualizado 01/05/2023 às 00:42 
Pioneiro da inteligência artificial sai do Google e alerta sobre “riscos” tecnológicos,Jennifer Korn,https://web.archive.org/web/20230505222731/https://www.cnnbrasil.com.br/tecnologia/pioneiro-da-inteligencia-artificial-sai-do-google-para-alertar-sobre-perigos-tecnologicos/,cnn, 02/05/2023 às 00:19 
"Ben Affleck sobre dinheiro que ganhou com Matt Damon por Oscar: ""Falimos em 6 meses""",Leticia Pazero,https://web.archive.org/web/20230427000632/https://www.cnnbrasil.com.br/entretenimento/ben-affleck-revela-destino-de-dinheiro-que-ganhou-com-matt-damon-por-oscar-falimos-em-6-meses/,cnn, 25/04/2023 às 14:07 | Atualizado 25/04/2023 às 14:08 
Saiba qual é o câncer com maior chance de prevenção no mundo,Lucas Rocha,https://web.archive.org/web/20230507222751/https://www.cnnbrasil.com.br/saude/saiba-qual-e-o-cancer-com-maior-chance-de-prevencao-no-mundo/,cnn, 05/05/2023 às 14:09 
Veja o que se sabe sobre a investigação de falsificações em registro de vacinas,Da CNN,https://web.archive.org/web/20230505001026/https://www.cnnbrasil.com.br/politica/veja-o-que-se-sabe-sobre-a-investigacao-de-falsificacoes-em-registro-de-vacinas/,cnn, 03/05/2023 às 22:53 
"Homem é preso por carregar ""canudo de vampiro"" em bagagem de mão; entenda",Zoe Sottile,https://web.archive.org/web/20230504001823/https://www.cnnbrasil.com.br/internacional/homem-e-preso-em-aeroporto-nos-eua-por-carregar-canudo-de-vampiro-em-bagagem-de-mao-entenda-o-termo/,cnn, 01/05/2023 às 11:10 | Atualizado 01/05/2023 às 11:12 
"Entenda a conturbada relação entre o rei Charles III, Harry e Meghan",Marina Toledo,https://web.archive.org/web/20230506222715/https://www.cnnbrasil.com.br/internacional/a-conturbada-relacao-entre-charles-harry-e-meghan-entenda/,cnn, 05/05/2023 às 08:06 
"Sutiã esportivo adequado pode aumentar desempenho na corrida, aponta estudo",Lucas Rocha,https://web.archive.org/web/20230425232151/https://www.cnnbrasil.com.br/saude/sutia-esportivo-adequado-pode-aumentar-desempenho-na-corrida-aponta-estudo/,cnn, 24/04/2023 às 10:51 
CNN repudia insinuações e libera íntegra de conteúdo sobre ex-ministro,Da CNN,https://web.archive.org/web/20230425232151/https://www.cnnbrasil.com.br/politica/cnn-repudia-insinuacoes-sobre-reportagem-e-libera-integra-de-conteudo-sobre-ex-ministro/,cnn, 20/04/2023 às 15:40 | Atualizado 20/04/2023 às 18:53 
"Villa: Podemos até questionar Lula, mas não vamos passar vergonha no exterior",Da CNN,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/marco-antonio-villa-podemos-ate-questionar-lula-mas-nao-vamos-passar-vergonha-no-exterior/,cnn, 26/04/2023 às 13:48 
Museu do Pênis é atração com cerca de 600 falos verdadeiros na Islândia,CNN Viagem & Gastronomia,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/viagemegastronomia/viagem/museu-do-penis-e-atracao-com-cerca-de-600-falos-verdadeiros-na-islandia/,cnn,"
                            25/04/2023 às 04:00                        "
WhatsApp permite usar mesma conta em até quatro celulares sem se desconectar,Da CNN,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/tecnologia/whatsapp-permite-usar-mesma-conta-em-ate-quatro-celulares/,cnn, 25/04/2023 às 04:00 | Atualizado 25/04/2023 às 14:57 
"Ministro interino do GSI, Ricardo Cappelli, critica CNN em entrevista a jornal",Da CNN,https://web.archive.org/web/20230425232151/https://www.cnnbrasil.com.br/politica/ao-jornal-valor-ministro-interino-do-gsi-critica-cnn/,cnn, 22/04/2023 às 23:55 | Atualizado 23/04/2023 às 00:00 
"Com simulações em 3D, pesquisadores descobrem como rastrear buracos negros",Ashley Strickland,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/tecnologia/com-simulacoes-em-3d-pesquisadores-descobrem-maneira-de-rastrear-buracos-negros/,cnn, 26/04/2023 às 06:18 | Atualizado 26/04/2023 às 06:19 
Paciente com câncer tem remissão total após tratamento desenvolvido por brasileiro,Lucas Rocha,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/saude/paciente-com-cancer-terminal-tem-remissao-total-da-doenca-apos-tratamento-desenvolvido-por-brasileiro/,cnn, 26/04/2023 às 19:00 | Atualizado 26/04/2023 às 21:14 
Ex-funcionários de Big Techs revelam que redes sociais são projetadas para viciar usuários,Flávia Martins,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/tecnologia/ex-funcionarios-de-big-techs-revelam-que-redes-sociais-sao-projetadas-para-viciar-usuarios/,cnn, 26/04/2023 às 04:00 
"""Vocês fizeram jornalismo"", diz Padilha à CNN sobre imagens exclusivas",Da CNN,https://web.archive.org/web/20230425232151/https://www.cnnbrasil.com.br/politica/voces-fizeram-jornalismo-diz-padilha-a-cnn-sobre-imagens-exclusivas/,cnn, 20/04/2023 às 18:05 | Atualizado 20/04/2023 às 20:11 
Spotify volta à normalidade após ficar instável e fora do ar para alguns usuários,Léo Lopes,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/entretenimento/spotify-tem-instabilidade-e-fica-fora-do-ar-para-alguns-usuarios/,cnn, 27/04/2023 às 10:19 
Acesso à saúde é mais difícil para pessoas LGBTQIA+ acima de 50 anos,Letycia Bond,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/saude/acesso-a-saude-e-mais-dificil-para-pessoas-lgbtqia-acima-de-50-anos-diz-estudo/,cnn, 26/04/2023 às 09:35 
"Alto nível de escolaridade não garante às mulheres maior renda, indica estudo",Bruna Macedo,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/nacional/alto-nivel-de-escolaridade-nao-garante-as-mulheres-maior-renda/,cnn, 25/04/2023 às 12:57 | Atualizado 25/04/2023 às 13:35 
Palmeiras ganha “reforço” às vésperas de duelo com o Corinthians,Luis Fabiani,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/esportes/palmeiras-ganha-reforco-as-vesperas-de-duelo-com-o-corinthians/,cnn, 27/04/2023 às 17:33 
Caso Cuca: Casagrande critica jogadores do Corinthians por abraço em treinador,Redação Itatiaia,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/esportes/caso-cuca-casagrande-critica-jogadores-do-corinthians-por-abraco-em-treinador/,cnn, 27/04/2023 às 15:04 
"Na mira do Corinthians, Tite prioriza trabalhar na Europa",Luis Fabiani,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/esportes/na-mira-do-corinthians-tite-prioriza-trabalhar-na-europa/,cnn, 27/04/2023 às 16:48 
Mattel lança primeira Barbie que representa pessoa com Síndrome de Down,Parija Kavilanz,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/economia/mattel-lanca-primeira-barbie-que-representa-pessoa-com-sindrome-de-down/,cnn, 25/04/2023 às 12:11 | Atualizado 25/04/2023 às 12:15 
Agência dos EUA aprova medicamento à base de bactérias benéficas de fezes,Reuters,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/saude/agencia-dos-eua-aprova-medicamento-a-base-de-bacterias-beneficas-de-fezes-humanas/,cnn, 27/04/2023 às 11:04 
Jovem pega sarna humana após usar aparelhos na academia; saiba prevenir,Beatrice Teizen,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/saude/jovem-pega-sarna-humana-apos-usar-aparelhos-na-academia-saiba-como-prevenir/,cnn, 26/04/2023 às 17:22 | Atualizado 26/04/2023 às 17:41 
Lula sanciona lei que prevê inclusão de raça e etnia em registros de empregados,Pedro Peduzzi,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/lula-sanciona-lei-que-preve-inclusao-de-raca-e-etnia-em-registros-de-empregados/,cnn, 24/04/2023 às 14:48 
Manchester United e Newcastle ficam muito próximos de vagas na Liga dos Campeões,Luccas Oliveira,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/esportes/manchester-united-e-newcastle-ficam-muito-proximos-de-vaga-na-liga-dos-campeoes/,cnn, 27/04/2023 às 18:41 
"Thiago Brennand deve voltar ao Brasil algemado por mãos e pés, de acordo com a polícia",Carolina Figueiredo,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/nacional/thiago-brennand-deve-voltar-ao-brasil-algemado-pelas-maos-e-pelos-pes-de-acordo-com-a-policia/,cnn, 27/04/2023 às 12:23 
O que acontece no corpo humano durante o sono? Veja importância de dormir bem,Lucas Rocha,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/saude/o-que-acontece-no-corpo-humano-durante-o-sono-entenda-importancia-de-dormir-bem/,cnn, 27/04/2023 às 15:09 
Ricardo Cavaliere é eleito para a ABL; Mauricio de Sousa recebe apenas dois votos,Fernanda Pinotti,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/nacional/ricardo-cavaliere-e-eleito-para-a-academia-brasileira-de-letras-mauricio-de-sousa-perde-disputa/,cnn, 27/04/2023 às 17:35 
